Day,Start Hour,Impressions
Sunday,0,"5,082"
Sunday,1,"2,294"
Sunday,2,"1,575"
Sunday,3,983
Sunday,4,575
Sunday,5,897
Sunday,6,"2,516"
Sunday,7,"4,298"
Sunday,8,"5,559"
Sunday,9,"7,997"
Sunday,10,"8,781"
Sunday,11,"7,399"
Sunday,12,"6,876"
Sunday,13,"6,953"
Sunday,14,"7,326"
Sunday,15,"5,918"
Sunday,16,"7,540"
Sunday,17,"7,429"
Sunday,18,"4,806"
Sunday,19,"4,377"
Sunday,20,"5,704"
Sunday,21,"6,980"
Sunday,22,"2,827"
Sunday,23,"2,985"
Monday,0,"2,366"
Monday,1,"1,243"
Monday,2,733
Monday,3,524
Monday,4,538
Monday,5,526
Monday,6,"1,429"
Monday,7,"2,353"
Monday,8,"3,724"
Monday,9,"12,002"
Monday,10,"17,280"
Monday,11,"15,881"
Monday,12,"14,977"
Monday,13,"11,403"
Monday,14,"10,839"
Monday,15,"10,064"
Monday,16,"9,829"
Monday,17,"9,057"
Monday,18,"8,708"
Monday,19,"7,198"
Monday,20,"7,021"
Monday,21,"6,767"
Monday,22,"6,588"
Monday,23,"5,394"
Tuesday,0,"3,989"
Tuesday,1,"2,198"
Tuesday,2,"1,390"
Tuesday,3,766
Tuesday,4,874
Tuesday,5,"1,194"
Tuesday,6,"3,592"
Tuesday,7,"5,410"
Tuesday,8,"7,357"
Tuesday,9,"10,627"
Tuesday,10,"22,545"
Tuesday,11,"15,967"
Tuesday,12,"12,722"
Tuesday,13,"12,175"
Tuesday,14,"11,804"
Tuesday,15,"10,175"
Tuesday,16,"8,706"
Tuesday,17,"7,703"
Tuesday,18,"7,418"
Tuesday,19,"7,412"
Tuesday,20,"7,068"
Tuesday,21,"7,164"
Tuesday,22,"11,665"
Tuesday,23,"7,348"
Wednesday,0,"4,091"
Wednesday,1,"2,770"
Wednesday,2,"1,545"
Wednesday,3,"1,146"
Wednesday,4,908
Wednesday,5,"1,472"
Wednesday,6,"4,865"
Wednesday,7,"7,575"
Wednesday,8,"9,182"
Wednesday,9,"11,887"
Wednesday,10,"14,394"
Wednesday,11,"16,513"
Wednesday,12,"17,498"
Wednesday,13,"15,173"
Wednesday,14,"14,201"
Wednesday,15,"12,594"
Wednesday,16,"11,844"
Wednesday,17,"11,276"
Wednesday,18,"11,631"
Wednesday,19,"12,660"
Wednesday,20,"13,199"
Wednesday,21,"12,690"
Wednesday,22,"9,363"
Wednesday,23,"13,076"
Thursday,0,"9,751"
Thursday,1,"3,993"
Thursday,2,"2,300"
Thursday,3,"1,360"
Thursday,4,"1,235"
Thursday,5,"1,621"
Thursday,6,"3,261"
Thursday,7,"3,966"
Thursday,8,"5,663"
Thursday,9,"6,291"
Thursday,10,"10,608"
Thursday,11,"10,829"
Thursday,12,"10,675"
Thursday,13,"8,103"
Thursday,14,"9,785"
Thursday,15,"8,491"
Thursday,16,"8,620"
Thursday,17,"8,409"
Thursday,18,"7,590"
Thursday,19,"7,743"
Thursday,20,"7,326"
Thursday,21,"5,829"
Thursday,22,"4,948"
Thursday,23,"3,055"
Friday,0,"2,311"
Friday,1,"1,522"
Friday,2,"1,190"
Friday,3,766
Friday,4,785
Friday,5,"1,457"
Friday,6,"3,347"
Friday,7,"5,428"
Friday,8,"8,100"
Friday,9,"12,801"
Friday,10,"15,014"
Friday,11,"15,393"
Friday,12,"13,237"
Friday,13,"10,467"
Friday,14,"10,295"
Friday,15,"9,741"
Friday,16,"8,230"
Friday,17,"7,105"
Friday,18,"6,582"
Friday,19,"6,329"
Friday,20,"6,779"
Friday,21,"8,578"
Friday,22,"8,240"
Friday,23,"5,285"
Saturday,0,"5,166"
Saturday,1,"2,439"
Saturday,2,"1,439"
Saturday,3,"1,054"
Saturday,4,802
Saturday,5,"1,130"
Saturday,6,"2,659"
Saturday,7,"5,127"
Saturday,8,"7,586"
Saturday,9,"9,273"
Saturday,10,"27,521"
Saturday,11,"12,603"
Saturday,12,"11,604"
Saturday,13,"9,781"
Saturday,14,"10,446"
Saturday,15,"8,676"
Saturday,16,"7,531"
Saturday,17,"6,726"
Saturday,18,"6,302"
Saturday,19,"7,110"
Saturday,20,"7,507"
Saturday,21,"6,791"
Saturday,22,"6,064"
Saturday,23,"5,559"
